"","word","n"
"1","christian",2551
"2","christians",2419
"3","trump",2062
"4","church",2040
"5","f0",1467
"6","009f",1434
"7","white",1387
"8","christianity",764
"9","support",748
"10","leaders",717
"11","churches",678
"12","people",671
"13","read",629
"14","god",625
"15","conservative",598
"16","pence",573
"17","bible",568
"18","american",513
"19","school",497
"20","catholic",494
"21","jesus",491
"22","women",464
"23","news",443
"24","america",414
"25","religious",400
"26","pastor",378
"27","love",374
"28","college",371
"29","gop",356
"30","shack",355
"31","private",346
"32","religion",337
"33","devos",336
"34","donald",333
"35","time",331
"36","lutheran",329
"37","vote",329
"38","betsy",323
"39","faith",321
"40","anti",319
"41","blog",318
"42","dreams",313
"43","stop",311
"44","evangelicals",288
"45","life",285
"46","world",280
"47","culture",276
"48","day",272
"49","community",258
"50","political",250
"51","post",248
"52","call",243
"53","left",243
"54","hate",240
"55","discernment",238
"56","art",237
"57","008f",236
"58","voters",234
"59","christ",229
"60","republican",229
"61","trump's",226
"62","missing",225
"63","explain",223
"64","called",218
"65","mike",217
"66","true",217
"67","cuba",215
"68","gay",214
"69","family",212
"70","book",207
"71","free",206
"72","party",204
"73","friends",202
"74","graham",202
"75","wing",202
"76","protestant",201
"77","grew",200
"78","leader",199
"79","voted",197
"80","prophecy",195
"81","muslims",193
"82","language",192
"83","standards",191
"84","theology",191
"85","inclusive",189
"86","fails",188
"87","radical",187
"88","gospel",184
"89","lot",184
"90","real",183
"91","message",182
"92","pro",180
"93","care",179
"94","president",179
"95","article",177
"96","booming",177
"97","mission",173
"98","muslim",173
"99","preachers",171
"100","mayor",169
"101","'cyrus",168
"102","law",168
"103","tensions",165
"104","southern",162
"105","pastors",159
"106","raised",159
"107","supporters",158
"108","baptist",157
"109","start",157
"110","hypocrisy",153
"111","movement",153
"112","worse",153
"113","carnival",152
"114","person",151
"115","word",151
"116","wrong",151
"117","james",150
"118","values",148
"119","poor",147
"120","base",145
"121","idea",143
"122","evil",142
"123","common",140
"124","country",140
"125","students",139
"126","talk",139
"127","silly",138
"128","preacher",137
"129","shit",137
"130","woman",137
"131","coming",136
"132","fake",136
"133","pray",136
"134","republicans",136
"135","skips",136
"136","protestants",135
"137","sex",135
"138","born",134
"139","money",134
"140","bad",133
"141","israel",133
"142","00a4",131
"143","wimps",131
"144","challenge",129
"145","politics",129
"146","makes",128
"147","budget",127
"148","feel",127
"149","gordon",127
"150","yeah",127
"151","liberal",126
"152","mind",125
"153","atheists",124
"154","history",124
"155","march",124
"156","times",124
"157","worship",124
"158","atheist",122
"159","hell",122
"160","piece",122
"161","sign",122
"162","ban",121
"163","pretty",121
"164","university",121
"165","hear",120
"166","video",120
"167","hard",119
"168","speech",119
"169","abuse",117
"170","force",117
"171","terrorists",117
"172","circles",114
"173","understand",114
"174","cult",113
"175","education",113
"176","guy",113
"177","hypocrites",113
"178","beliefs",112
"179","days",112
"180","franklin",112
"181","rule",112
"182","commencement",110
"183","based",109
"184","house",109
"185","means",109
"186","power",109
"187","racist",109
"188","wife",109
"189","abortion",108
"190","moral",108
"191","snowflakes",108
"192","thinking",108
"193","heard",107
"194","john",107
"195","sunday",107
"196","boycott",106
"197","conservatives",106
"198","live",106
"199","told",106
"200","truth",106
"201","weird",106
"202","reason",105
"203","hope",104
"204","lol",104
"205","remember",104
"206","tv",104
"207","guess",103
"208","question",103
"209","agree",102
"210","deliver",102
"211","jews",102
"212","story",102
"213","'the",100
"214","children",100
"215","kids",100
"216","disney",98
"217","public",98
"218","biblical",97
"219","lgbt",97
"220","sad",97
"221","won",97
"222","black",96
"223","fundamentalist",96
"224","home",96
"225","immigration",96
"226","marriage",96
"227","moore",96
"228","control",95
"229","view",95
"230","catholics",94
"231","lead",94
"232","usa",94
"233","americans",93
"234","follow",93
"235","opinion",93
"236","ppl",93
"237","rape",93
"238","billy",92
"239","orthodox",92
"240","watch",92
"241","male",91
"242","persecution",91
"243","rights",91
"244","sharia",91
"245","talking",91
"246","wild",91
"247","judge",90
"248","fe0f",89
"249","issue",89
"250","prayer",89
"251","reading",89
"252","schools",89
"253","00bc",88
"254","islam",88
"255","social",88
"256","growing",87
"257","seminary",87
"258","majority",86
"259","taught",86
"260","00a9",85
"261","fear",85
"262","praise",85
"263","reformed",85
"264","term",85
"265","gays",84
"266","issues",84
"267","jewish",84
"268","reaching",84
"269","change",83
"270","hey",83
"271","media",83
"272","meeting",83
"273","modern",83
"274","society",83
"275","taliban",83
"276","conference",82
"277","crazy",82
"278","evangelism",82
"279","experience",82
"280","false",82
"281","fox",82
"282","friend",82
"283","rio",82
"284","tea",82
"285","holy",81
"286","job",81
"287","rotting",81
"288","alliance",80
"289","check",80
"290","falwell",80
"291","service",80
"292","speaking",80
"293","stuff",80
"294","youth",80
"295","amid",79
"296","commercialization",79
"297","fellowship",79
"298","roman",79
"299","lying",78
"300","oregon",78
"301","preaching",78
"302","religiously",78
"303","st",78
"304","stand",78
"305","taking",78
"306","complex",77
"307","meet",77
"308","ministry",77
"309","parents",77
"310","pay",77
"311","south",77
"312","steve",77
"313","thread",77
"314","war",77
"315","week",77
"316","division",76
"317","god's",76
"318","rio's",76
"319","twitter",76
"320","freedom",75
"321","hypocrite",75
"322","sick",75
"323","sounds",75
"324","agenda",74
"325","belief",74
"326","lost",74
"327","middle",74
"328","movie",74
"329","wow",74
"330","death",73
"331","earth",73
"332","found",73
"333","government",73
"334","night",73
"335","politicians",73
"336","russell",73
"337","alt",72
"338","critics",72
"339","finding",72
"340","paul",72
"341","progressive",72
"342","terrorist",72
"343","version",72
"344","xtian",72
"345","'evangelical",71
"346","evangelical's",71
"347","fucking",71
"348","human",71
"349","hypocritical",71
"350","leave",71
"351","major",71
"352","population",71
"353","sexual",71
"354","beaten",70
"355","bit",70
"356","calling",70
"357","fuck",70
"358","happy",70
"359","spiritual",70
"360","author",69
"361","city",69
"362","claim",69
"363","mainline",69
"364","science",69
"365","secretive",69
"366","theological",69
"367","unaffiliated",69
"368","ass",68
"369","boy",68
"370","united",68
"371","books",67
"372","election",67
"373","form",67
"374","head",67
"375","rich",67
"376","ago",66
"377","guys",66
"378","pope",66
"379","popular",66
"380","response",66
"381","rise",66
"382","task",66
"383","tense",66
"384","bill",65
"385","jonathan",65
"386","services",65
"387","shame",65
"388","uber",65
"389","ur",65
"390","words",65
"391","alternative",64
"392","conversion",64
"393","folks",64
"394","join",64
"395","lord",64
"396","mark",64
"397","run",64
"398","supporting",64
"399","followers",63
"400","india",63
"401","music",63
"402","speak",63
"403","typical",63
"404","cultural",62
"405","event",62
"406","isis",62
"407","listen",62
"408","role",62
"409","views",62
"410","bullshit",61
"411","choice",61
"412","dr",61
"413","funds",61
"414","huge",61
"415","ire",61
"416","kkk",61
"417","living",61
"418","mom",61
"419","stupid",61
"420","targeted",61
"421","trust",61
"422","vancouver",61
"423","calls",60
"424","lies",60
"425","medicine",60
"426","strong",60
"427","votes",60
"428","drawing",59
"429","easy",59
"430","line",59
"431","racism",59
"432","apparently",58
"433","baptists",58
"434","bc",58
"435","doctrine",58
"436","joke",58
"437","lent",58
